University,Location,GradeA,GradeB,GradeC,GradeD,GradeE,Quota,EntranceExam,Majors
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (កំពង់ធំ) - Cambodia University of Specialties (Kampong Thom),Kampong Thom,100,80,50,50,25,114,Yes,Marketing|Accounting|International Business|Tourism|Banking|Economics|Khmer Literature|English|Law|Information Technology
វិទ្យាស្ថានក្រុងអង្គរ (កំពង់ធំ) - Angkor City Institute (Kampong Thom),Kampong Thom,100,75,0,0,0,92,No,Management|Accounting|Law|English Literature|Khmer Literature|Banking
វិទ្យាស្ថានវិទ្យាសាស្ត្រ និងបច្ចេកវិទ្យានៃកម្ពុជា - Cambodia Institute of Science and Technology (Kampong Thom),Kampong Thom,80,60,0,0,0,60,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
សាកលវិទ្យាល័យសម្តេចព្រះមហាសង្ឃរាជ បួរ គ្រី - Samdech Preah Mohasumethadhibati Bour Kry University,Kandal,95,75,0,0,0,70,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
សាកលវិទ្យាល័យក្រចេះ - University of Kratie,Kratie,100,85,50,30,20,118,No,Soil Science and Crops|Crop Protection and Post-Harvest Technology|Animal Science and Veterinary Medicine|Food Science and Nutrition|Food Engineering|Management|Accounting|Banking and Finance|Civil Engineering|Mechanical and Industrial Engineering|Electronics Engineering|Aquaculture|Feed Genetics and Breeding
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច (ក្រចេះ) - University of Management and Economics (UME),Kratie,100,85,0,0,0,112,Yes,Marketing|Information Technology|Mathematics|English
វិទ្យាស្ថានអាស៊ី កម្ពុជា - Asia Institute Cambodia,Kratie,40,65,0,0,0,60,No,Public Law|Public Administration|Accounting|Banking|Human Resource Management|Marketing
វិទ្យាស្ថានវិទ្យាសាស្ត្រ និងបច្ចេកវិទ្យានៃកម្ពុជា - Cambodia Institute of Science and Technology (Preah Vihear),Preah Vihear,100,80,0,0,0,105,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
វិទ្យាស្ថានអាស៊ី កម្ពុជា - Asia Institute Cambodia,Preah Vihear,20,65,0,0,0,60,No,Public Law|Public Administration|Accounting|Banking|Human Resource Management|Marketing
វិទ្យាស្ថានក្រុងអង្គរ (ព្រៃវែង) - Angkor City Institute (Prey Veng),Prey Veng,0,0,0,0,0,0,No,Management|Accounting|Law
